Wahlkreis,Wahlbezirk,Name,Straße,PLZ+Ort,barrierefrei
21,5301,Berlin Brandenburgische Auslandsgesellschaft,Schulstr. 8b,14482 Potsdam,
21,5305,"Kindertagesstätte ""Sandscholle""",Franz-Mehring-Str. 54,14482 Potsdam,barrierefrei
21,5302,Goethe-Grundschule (31),Stephensonstr. 1,14482 Potsdam,barrierefrei
21,5306,"Universität Potsdam, Komplex III",August-Bebel-Str. 89,14482 Potsdam,barrierefrei
21,5303,Goethe-Grundschule (31),Stephensonstr. 1,14482 Potsdam,barrierefrei
21,5307,Institut für Weiterbildung,Fritz-Zubeil-Str. 14,14482 Potsdam,barrierefrei
21,5304,Sportplatz Sandscholle,Franz-Mehring-Str. 54,14482 Potsdam,barrierefrei
21,5308,Jugendherberge Potsdam - Haus der Jugend,Schulstr. 9,14482 Potsdam,barrierefrei
22,6202,Humboldt-Gymnasium (1),Heinrich-Mann-Allee 103,14473 Potsdam,barrierefrei
21,5309,Institut für Weiterbildung,Fritz-Zubeil-Str. 14,14482 Potsdam,barrierefrei
22,6203,Internationale Grundschule,Ravensbergweg 30,14473 Potsdam,
22,6101,Hoffbauer Tagungshaus,Hermannswerder 23,14473 Potsdam,barrierefrei
22,6301,Gesamtschule Am Schilfhof (49),Schilfhof 23-25,14478 Potsdam,barrierefrei
22,6302,Gesamtschule Am Schilfhof (49),Schilfhof 23-25,14478 Potsdam,barrierefrei
22,6201,Märkische Verlags- u. Druckgesellschaft GmbH,Friedrich-Engels-Str. 24,14473 Potsdam,barrierefrei
22,6303,Gesamtschule Am Schilfhof (49),Schilfhof 23-25,14478 Potsdam,barrierefrei
22,6402,Waldorfschule Potsdam e. V.,Erich-Weinert-Str. 5,14478 Potsdam,barrierefrei
22,6304,Schule am Nuthetal (10/30),An der Alten Zauche 2c,14478 Potsdam,
22,6403,Waldstadt-Grundschule (27),Friedrich-Wolf-Str. 12,14478 Potsdam,
22,6305,Bürgerhaus am Schlaatz,Schilfhof 28,14478 Potsdam,barrierefrei
22,6306,Schulen u. Wohnheim mit sonderpäd. Förderschwerpunkt,Bisamkiez 107-111,14478 Potsdam,barrierefrei
22,6404,Waldstadt-Grundschule (27),Friedrich-Wolf-Str. 12,14478 Potsdam,
22,6501,Oberstufenzentrum II Wirtschaft und Verwaltung,Zum Jagenstein 26,14478 Potsdam,barrierefrei
22,6307,"Kindertagesstätte ""Kinderland""",Bisamkiez 101,14478 Potsdam,barrierefrei
