Wahlbezirk,Straße,Hausnummern
1306,Erich-Mendelsohn-Allee,70
1306,Esplanade,alle
1306,Georg-Hermann-Allee,"ung. 33-105,, ger. 26-142"
1306,Gertrud-Feiertag-Str.,alle
1306,Hans-Paasche-Str.,alle
1306,Hermann-Kasack-Str.,alle
1306,Horst-Bienek-Str.,alle
1306,Jochen-Klepper-Str.,alle
1306,Kiepenheuerallee,ger. 10-28
1306,Nedlitzer Str.,15A-27C
1306,Peter-Huchel-Str.,alle
1306,Reinhold-Schneider-Str.,alle
1306,Erich-Mendelsohn-Allee,ung. 31-91
1306,Fintelmannstr.,"ung. 1-17, ger. 2-14"
1306,Fritz-Encke-Str.,"7, ger. 8-22"
1306,Gustav-Meyer-Str.,2
1306,Heinrich-Zeininger-Str.,alle
1306,Hermann-Göritz-Str.,alle
1306,Hermann-Mächtig-Str.,"ger. 10-28, ung. 61-119,"
1306,Hermann-Mattern-Promenade,ger. 32-112
1306,Herta-Hammerbacher-Str.,8-27
1306,Ludwig-Lesser-Str.,alle
1306,Luzernstr.,alle
1306,Max-Wundel-Str.,alle
1306,Melchior-Bauer-Str.,ung. 19-37
1306,Orville-Wright-Str.,ger. 44-98
1306,Paul-Engelhard-Str.,"ung. 39-81B, ger. 44-80A"
1306,Salzmannweg,alle
1306,Theodor-Echtermeyer-Str.,"ung. 7-19, ger. 2-20"
1401,Walter-Funcke-Str.,alle
1401,Weißdornweg,ger. 2-14
1401,Wildapfelweg,alle
1401,Wildbirnenweg,alle
1401,Wildkirschenweg,ung. 9-19
1401,Am Hämphorn,alle
1401,GA Anglerwiese,alle
1401,GA Meedehorn,alle
1401,Im Königswald,alle
1401,Kladower Str.,alle
1401,Krampnitzer Str.,alle
1401,Weinmeisterweg,alle
1504,Zur Anglerwiese,alle
1504,Am alten Mörtelwerk,ger. 2-8a
1504,Am Sandberg,alle
1504,Am Tempelberg,alle
1504,Carl-Dähne-Str.,alle
1504,Kaiser-Friedrich-Str.,"1-15, 140-148"
1504,Weg nach Bornim,alle
1601,Zum Düsteren Teich,alle
1601,Am alten Mörtelwerk,9-23
1601,Am Langen Berg,alle
1601,Baumhaselring,"ung. 1-109, ger. 2-164A"
1601,Baumschulenweg,6A-6E
1601,Eichenring,"ung. 1-41, ger. 6-58"
1601,Kahlenbergstr.,6-10
1601,Kirschenstieg,alle
1601,Krumme Str.,alle
1601,Mehlbeerenweg,"ung. 9-19, ger. 2-12"
1601,Roßkastanienstr.,"ung. 1-15, ger. 2-8"
1601,Schlehenstieg,alle
1601,Vogelbeerenweg,alle
1601,Wacholderstieg,alle
1601,Weißdornweg,"ung. 1-21, ger. 16-32"
1601,Wildkirschenweg,"1-8, 10"
1601,Am Bahnhof,1-5
1601,Am Blinker,alle
1601,Am Konsumplatz,alle
1601,Am Küssel,alle
1601,Ausbau,alle
1601,Bollmannsteig,alle
1601,Dorfstr. Grube,alle
1601,Ebereschenweg,alle
1601,Feldweg Grube,alle
1601,Forellensprung,alle
1601,Hauptweg,alle
1601,Klabautermann,alle
1601,Königsdamm,alle
1601,Laubenweg,alle
1601,Mühlendamm,alle
1601,Nattwerder Weg,alle
1601,Neue Dorfstr.,alle
1601,Petri Heil,alle
1601,Rosenweg,alle
1601,Schlänitzseer Weg,alle
1601,Schmidtshof,alle
1601,Schwarzer Weg,alle
1601,Steife Brise,alle
1601,Strandweg Grube,alle
1601,Vogelsang Grube,alle
1601,Wiesenrain,alle
1502,Wublitzstr.,alle
1502,Am Grünen Weg,alle
1502,Am Kirchblick,alle
1502,Birkenhügel,ger. 10-12A
1502,Ecksteinweg,alle
1503,Kaiser-Friedrich-Str.,96-135
1503,Altes Rad,alle
1503,Am alten Mörtelwerk,ung. 1-5
1503,Am Eichenhain,alle
1503,Baumhaselring,"ung. 111-123,, ger. 166-198A"
1503,Baumschulenweg,"ung. 1-19, ger. 2-6,, ger. 8A-18"
1503,Birkenhügel,1-6
1503,Brombeerstieg,alle
1503,Ehrenpfortenbergstr.,alle
1503,Eichenring,"ung. 43-51, ger. 60-92"
1503,Kahlenbergstr.,1-5
1503,Kaiser-Friedrich-Str.,15A-95
1503,Kuhforter Damm Eiche,alle
1503,Lindengrund,alle
1503,Lindstedter Str.,alle
1503,Mehlbeerenweg,ung. 1-7
1503,Rosenstieg,alle
1503,Roßkastanienstr.,"ung. 17-61, ger. 10-28"
1503,Siedlungsweg,alle
1701,Thujaweg,alle
1701,Am Urnenfeld,alle
1701,Ehrenpfortenbergstr. Golm,alle
1701,Habichtweg Golm,alle
1701,In der Feldmark,"ung. 53-65, ger. 32-64"
1701,In der Heide,alle
1701,Karl-Liebknecht-Str. Golm,alle
1701,Käuzchenweg Golm,alle
1701,Kleiberweg,alle
1701,Kuhfortdamm,alle
1701,Meisenweg Golm,alle
1701,Pirolweg,alle
1701,Reiherbergstr.,"1-8, 36-69"
1701,Spechtweg,alle
1701,Sperberweg,alle
2102,Turmfalkenweg,alle
2102,Am Golmer Weinberg,alle
2102,Am Mühlenberg,alle
2102,Am Zernsee,alle
2102,Bornimer Chaussee,alle
2102,Falknerstr.,alle
2102,Fuchsweg,alle
2102,Galliner Damm,alle
2102,Geiselbergstr.,alle
2102,Golmer Damm,alle
2102,Jägerstr. Golm,alle
2102,Kossätenweg,alle
2102,Reiherbergstr.,9-35
2102,Ritterstr.,alle
2102,Schwalbenhof,alle
2102,Storchenhof,alle
2102,Thomas-Müntzer-Str.,alle
2102,Weinmeisterstr.,alle
2102,Winkelhof,alle
2102,Zum Mühlenteich,alle
2102,Alleestr.,1-7
2102,Am Neuen Garten,"1-8, 64"
2102,Behlertstr.,4A-12
2102,Bertha-v.-Suttner-Str.,alle
2102,Eisenhartstr.,alle
2102,Friedrich-Ebert-Str.,49-71B
2102,Hebbelstr.,14-33
2102,Helene-Lange-Str.,1-10
2102,Im Neuen Garten,alle
2102,Jägerallee,"18, 19"
2103,Reiterweg,alle
2103,Alleestr.,8-13
2103,Beyerstr.,alle
2103,Birkenstr.,alle
2103,Große Weinmeisterstr.,49-64
2103,Hessestr.,alle
2103,Kleine Weinmeisterstr.,alle
2103,Nedlitzer Str.,1E
2103,Persiusstr.,alle
2103,Puschkinallee,1-17
1703,Russische Kolonie,alle
1703,Am Zachelsberg,alle
1703,An der Bahn,alle
1703,Eichenweg Golm,alle
1703,Elsternstr.,alle
1703,Golmer Fichten,alle
1703,Grasmückenring,alle
1703,In der Feldmark,"ung. 1-37, ger. 2-28"
1703,Taubenbogen,alle
1703,Zaunkönigweg,alle
2104,Zum Großen Herzberg,alle
2104,Am Jungfernsee,alle
2104,Am Reiherbusch,1-9
2104,Bruno-Taut-Str.,alle
2104,Carl-Adam-Petri-Str.,alle
