Orville-Wright-Str.	ger. 2-42
Pappelallee	14-20
Paul-Engelhard-Str.	ung. 1-37, ger. 8-24
Reiherweg	alle
Schulplatz	1, 7
Wahlbezirk 1305	WK 19
Grundschule im Bornstedter Feld (3)	
Jakob-von-Gundling-Str. 25	
14469 Potsdam	barrierefrei
August-Bonness-Str.	ung. 9-17
Carl-Christian-Horvath-Str.	ger. 2-14
Erich-Mendelsohn-Allee	ger. 4-12
Georg-Hermann-Allee	ung. 21-31
Hannes-Meyer-Str.	alle
Kiepenheuerallee	ung. 11-27
Mies-van-der-Rohe-Str.	alle
Peter-Behrens-Str.	alle
Stechlinweg	alle
Wahlbezirk 1309	WK 19
Leonardo-da-Vinci-Gesamtschule (32)	
Esplanade 3	
14469 Potsdam	barrierefrei
Wahlbezirk 1306	WK 19
Leonardo-da-Vinci-Gesamtschule (32)	
Esplanade 3	
14469 Potsdam	barrierefrei
Angermannstr.	alle
Annemarie-Wolff-Platz	alle
Bonner Str.	alle
Erich-Arendt-Str.	alle
Erich-Mendelsohn-Allee	70
Esplanade	alle
Georg-Hermann-Allee	ung. 33-105,
""	ger. 26-142
Gertrud-Feiertag-Str.	alle
Hans-Paasche-Str.	alle
Hermann-Kasack-Str.	alle
Horst-Bienek-Str.	alle
Jochen-Klepper-Str.	alle
Kiepenheuerallee	ger. 10-28
Nedlitzer Str.	15A-27C
Peter-Huchel-Str.	alle
Reinhold-Schneider-Str.	alle
Erich-Mendelsohn-Allee	ung. 31-91
Fintelmannstr.	ung. 1-17, ger. 2-14
Fritz-Encke-Str.	7, ger. 8-22
Gustav-Meyer-Str.	2
Heinrich-Zeininger-Str.	alle
Hermann-Göritz-Str.	alle
Hermann-Mächtig-Str.	ger. 10-28
""	ung. 61-119,
Hermann-Mattern-Promenade	ger. 32-112
Herta-Hammerbacher-Str.	8-27
Ludwig-Lesser-Str.	alle
Luzernstr.	alle
Max-Wundel-Str.	alle
Melchior-Bauer-Str.	ung. 19-37
Orville-Wright-Str.	ger. 44-98
Paul-Engelhard-Str.	ung. 39-81B, ger. 44-80A
Salzmannweg	alle
Theodor-Echtermeyer-Str.	ung. 7-19, ger. 2-20
Walter-Funcke-Str.	alle
Wahlbezirk 1401	WK 19
Schloß Sacrow	
Krampnitzer Str. 33	
14469 Potsdam	
Weißdornweg	ger. 2-14
Wildapfelweg	alle
Wildbirnenweg	alle
Wildkirschenweg	ung. 9-19
Am Hämphorn	alle
GA Anglerwiese	alle
GA Meedehorn	alle
Im Königswald	alle
Kladower Str.	alle
Krampnitzer Str.	alle
Weinmeisterweg	alle
Zur Anglerwiese	alle
Wahlbezirk 1504	WK 19
Grundschule Ludwig Renn (2)	
Kaiser-Friedrich-Str. 15a	
14469 Potsdam	barrierefrei
Am alten Mörtelwerk	ger. 2-8a
Am Sandberg	alle
Am Tempelberg	alle
Carl-Dähne-Str.	alle
Kaiser-Friedrich-Str.	1-15, 140-148
Weg nach Bornim	alle
Zum Düsteren Teich	alle
Wahlbezirk 1501	WK 19
Kita Wilde Früchtchen	
Wildbirnenweg 10	
14469 Potsdam	barrierefrei
Wahlbezirk 1601	WK 19
BAUERei in Grube	
Wublitzstr. 11	
14469 Potsdam	
Am alten Mörtelwerk	9-23
Am Langen Berg	alle
Baumhaselring	ung. 1-109, ger. 2-164A
Baumschulenweg	6A-6E
Eichenring	ung. 1-41, ger. 6-58
Kahlenbergstr.	6-10
Kirschenstieg	alle
Krumme Str.	alle
Mehlbeerenweg	ung. 9-19, ger. 2-12
Roßkastanienstr.	ung. 1-15, ger. 2-8
Schlehenstieg	alle
Vogelbeerenweg	alle
Wacholderstieg	alle
Weißdornweg	ung. 1-21, ger. 16-32
Wildkirschenweg	1-8, 10
Am Bahnhof	1-5
Am Blinker	alle
Am Konsumplatz	alle
Am Küssel	alle
Ausbau	alle
Bollmannsteig	alle
Dorfstr. Grube	alle
Ebereschenweg	alle
Feldweg Grube	alle
Forellensprung	alle
Hauptweg	alle
Klabautermann	alle
Königsdamm	alle
Laubenweg	alle
Mühlendamm	alle
Nattwerder Weg	alle
Neue Dorfstr.	alle
Petri Heil	alle
Rosenweg	alle
Schlänitzseer Weg	alle
Schmidtshof	alle
Schwarzer Weg	alle
Steife Brise	alle
Strandweg Grube	alle
Vogelsang Grube	alle
Wiesenrain	alle
Wublitzstr.	alle
Wahlbezirk 1502	WK 19
Grundschule Ludwig Renn (2)	
Kaiser-Friedrich-Str. 15a	
14469 Potsdam	barrierefrei
Am Grünen Weg	alle
Am Kirchblick	alle
Birkenhügel	ger. 10-12A
Ecksteinweg	alle
Kaiser-Friedrich-Str.	96-135
Wahlbezirk 1503	WK 19
Kita Turmspatzen	
Kaiser-Friedrich-Str. 32	
14469 Potsdam	barrierefrei
Altes Rad	alle
Am alten Mörtelwerk	ung. 1-5
Am Eichenhain	alle
Baumhaselring	ung. 111-123,
""	ger. 166-198A
Baumschulenweg	ung. 1-19, ger. 2-6,
""	ger. 8A-18
Birkenhügel	1-6
Brombeerstieg	alle
Ehrenpfortenbergstr.	alle
Eichenring	ung. 43-51, ger. 60-92
Kahlenbergstr.	1-5
Kaiser-Friedrich-Str.	15A-95
Kuhforter Damm Eiche	alle
Lindengrund	alle
Lindstedter Str.	alle
Mehlbeerenweg	ung. 1-7
Rosenstieg	alle
Roßkastanienstr.	ung. 17-61, ger. 10-28
Siedlungsweg	alle
Thujaweg	alle
Wahlbezirk 1701	WK 19
Universität Potsdam, Komplex Golm	
Karl-Liebknecht-Str. Golm 24-25	
14476 Potsdam	barrierefrei
Am Urnenfeld	alle
Ehrenpfortenbergstr. Golm	alle
Habichtweg Golm	alle
In der Feldmark	ung. 53-65, ger. 32-64
In der Heide	alle
Karl-Liebknecht-Str. Golm	alle
Käuzchenweg Golm	alle
Kleiberweg	alle
Kuhfortdamm	alle
Meisenweg Golm	alle
Pirolweg	alle
Reiherbergstr.	1-8, 36-69
Spechtweg	alle
Sperberweg	alle
Turmfalkenweg	alle
Wahlbezirk 1702	WK 19
ehemaliges Gemeindebüro Golm	
Reiherbergstr. 31	
14476 Potsdam	
Wahlbezirk 2102	WK 21
Treffpunkt Freizeit	
Am Neuen Garten 64	
14469 Potsdam	barrierefrei
Am Golmer Weinberg	alle
Am Mühlenberg	alle
Am Zernsee	alle
Bornimer Chaussee	alle
Falknerstr.	alle
Fuchsweg	alle
Galliner Damm	alle
Geiselbergstr.	alle
Golmer Damm	alle
Jägerstr. Golm	alle
Kossätenweg	alle
Reiherbergstr.	9-35
Ritterstr.	alle
Schwalbenhof	alle
Storchenhof	alle
Thomas-Müntzer-Str.	alle
Weinmeisterstr.	alle
Winkelhof	alle
Zum Mühlenteich	alle
Alleestr.	1-7
Am Neuen Garten	1-8, 64
Behlertstr.	4A-12
Bertha-v.-Suttner-Str.	alle
Eisenhartstr.	alle
Friedrich-Ebert-Str.	49-71B
Hebbelstr.	14-33
Helene-Lange-Str.	1-10
Im Neuen Garten	alle
Jägerallee	18, 19
Reiterweg	alle
Wahlbezirk 2103	WK 21
Kita Vielfalt	
Puschkinallee 14	
14469 Potsdam	
Alleestr.	8-13
Beyerstr.	alle
Birkenstr.	alle
Große Weinmeisterstr.	49-64
Hessestr.	alle
Kleine Weinmeisterstr.	alle
Nedlitzer Str.	1E
Persiusstr.	alle
Puschkinallee	1-17
Russische Kolonie	alle
Wahlbezirk 1703	WK 19
Universität Potsdam, Komplex Golm	
Karl-Liebknecht-Str. Golm 24-25	
14476 Potsdam	barrierefrei
Am Zachelsberg	alle
An der Bahn	alle
Eichenweg Golm	alle
Elsternstr.	alle
Golmer Fichten	alle
Grasmückenring	alle
In der Feldmark	ung. 1-37, ger. 2-28
Taubenbogen	alle
Zaunkönigweg	alle
Zum Großen Herzberg	alle
Wahlbezirk 2104	WK 21
Leonardo-da-Vinci-Gesamtschule (32)	
